Index	Section	Name	Brewery	Character	Strength	Complexity	Style	Description				
97	5	YO HO!	Newstead Brewing Co	character	9.9%	ADVENTUROUS	Rum Porter	"Up at Sparrows fart to sail the seven banks of the Brisbane river, our fleet was plundered by Drunken Pirates. Devastated, we are left to rebuild with the shackles they left behind. A barrel of local rum, in-house caramelised raisins, rich dark molasses and some lactose for those long voyages. It’s a Yo ho ho and a Bottle of Rum… and Raisin Pud Pastry Stout. Loaded with rum and raisin goodness, balanced with a rich and complex malt profile, decadent molasses, a pleasing bitterness and the sweetness of a pastry stout. It’s a sipper, one to enjoy while watching the sun set, or rise."				
98	5	GULLS JUST WANNA HAVE FUN (FISH & CHIP GOSE)	Boatrocker Brewers & Distillers	character	5%	EASY DRINKING	ISour - Gose	"A refreshing and nostalgic seaside sour that will make you want to Flake from work and go straight to your happy Plaice. Briny salinity and umami from the sea harvest ingredients - sea urchin, shellfish shells, sea parsley & samphire - create an unexpectedly moreish drop when combined with fresh lemon peel and the bright and zesty flavours of a traditional gose. The addition of mashed potatoes into the mash (and the opportunity for wordplay here is not lost on us) rounds out this experimental brew with a satisfying familiarity that will have you asking 'where should we go next for ice cream?"				
99	5	STOUTINI 2.0	Little Creatures	character	7.8%	STEPPING UP	Stout - Imperial Nitro Coffee	"The GABS exclusive Stoutini is back with a twist! A nitro stout using cold-brewed Mexican coffee. Nitrogen infused for a frothy finish, this smooth, caffeinated wonder is Little Creatures take on the classic espresso martini cocktail."				
100	5	KEEPING IT SIMPLE	Bentspoke Brewery	character	6.8%	STEPPING UP	JAIPA (Just another IPA)	Take the road less travelled. Keeping it Simple is Just Another IPA.				
101	6	AWW DUCK YEAH!	Aunty Jacks	character	5.2%	STEPPING UP	Stout - Sweet Stout	"Inspired by something truly timeless - the A.W.W. Duck Cake - this Collab beer between Aunty Jacks of Ballarat and Noodledoof of Koroit is a sweet white stout brewed to showcase the hallmarks of the childhood cult classic. Brewed using a variety of specialty malts and rolled oats, sweetened with lactose, then spiced with Vanilla, Cacao, Green Coffee beans and some all-important popcorn, liquorice and crinkle cut chips (the beak!)"				
102	6	THE WAY OF TEA	Garage Project	character	7%	ADVENTUROUS	IPA - Hazy	"Smooth East Coast style IPA infused with Green Matcha, blending juicy citrus hops with a sweet umami twist of tea."				
103	6	NO PLACE LIKE AUS	Sierra Nevada	character	6.5%	STEPPING UP	IPA - Hoppy	"Australian hops headline this West Coast-style IPA, with Galaxy and Vic Secret teaming up for a Down Under medley of citrus, berries and sweet fruit, all rooted in a clean bitterness from trusty Magnum"				
104	6	PROPER GABS	Cloudwater Brew Co.	character	8%	ADVENTUROUS	IPA - New England (Double)	"The latest in our Proper DIPA series, celebrating a legendary Manchester yeast that has spanned thousands of generations. With the original recipes developed by our pals at JW Lees in 2017, we are continuing their memory through a beer that is modern, bold and supremely hoppy. This time we use bold new Strata hops, bringing a punchy floral and fruity aroma, apricot and melon flavours and full bodied sweetness balanced by a resinous finish."				
105	6	"HAIL MARY, HAIR OF THE DOG"	Hudson Brewing	character	5%	ADVENTUROUS	Saison/Farmhouse Ale	"The day after a big night out can be pretty daunting... Jump back in with this refreshing pick-me-up!""Hail Mary, Hair of the Dog"" - A Tomato Farmhouse style kick starter, a touch of tobassco and a pinch of salt. Welcome back to reality..."				
106	6	FIERY AZZURRO PILS	Impi Brewers	character	6.5%	STEPPING UP	Specialty Beer	"A spicy twist on a classic Italian Pilsner, with a subtle heat from habanero chilli that complements the crisp and refreshing taste. Perfect for a summer day or pairing with spicy foods."				
107	6	INVISIBLE ORANGES	Beerland	character	6.5%	EASY DRINKING	IPA - Black	"A dark, hoppy saision. Invisible Oranges will hit you with pronounced notes of dark chocolate and citrus fruit with being dry and balanced."				
108	6	FROOTIE & THE BLOWFISH	Rocky Ridge Brewing Co	character	8%	ADVENTUROUS	Fruit Beer	"Yo, we heard you like big dumb sours...We've got you covered with this rambunctious triple fruited imperial sour. Packed full of enough fruit to keep you buzzin' for a hot minute, there's only one thing you can do, get a mouthful of froooot."				
109	6	HOLD THE PORK	Hiker Brewing Co	character	5%	STEPPING UP	Specialty Beer	This amber rice lager is soured and infused with smoked pineapple and szechuan pepper to replicate everyone's favourite Chinese sauce.				
110	6	RASPBERRY LEMONADE	One Drop Brewing Co	character	6.2%	STEPPING UP	Specialty Brew	"Wowzer! Fresh Aussie lemons and raspberries combine give a nostalgic-inducing, thirst-quenching, summer-making tasty wee number that'll have you dreaming of deep red sunsets of the Botany lagoon."				
111	6	LUCKY CHARMS CEREAL MILK STOUT	Rusty Penny Brewing	character	7.2%	STEPPING UP	Stout - Sweet Stout	Big Bold Thick and Sweet. The creation of our sales team led by Chris Sincek as he said 'going to the dark side' it boasts big rich stout flavour with thickness from the Oats in and sweetness from the marshmallow cereal. enjoy by the pint				
112	6	RONIN - JAPANESE DOUBLE IPA	Southern Highlands Brewing Co	character	7%	ADVENTUROUS	IPA - Double	Blending rice and malted barley along side of Japanese bred Sorachi Ace used as a late addition and dry hop.				
113	6	SPICY WOMBAT	Roots & Leaves	character	6%	STEPPING UP	Ginger/Spiced Beer	"It's not commonly known, but the Spicy Wombat feasts on much more than just Roots and Leaves. He also devours spicy fire fruit chillies turned into Danger Dust and tempers it with limes for the ultimate in ginger beer flavours. This is a beer to cleanse your pallet and get a reset, or to use as the backbone for your fried snacks. You can womble like a wombat and have Roots and Leaves, or you can spice it up and try the Spicy Wombat to give so much more. Do you even dare bro?"				
114	6	CHERRY NICE GRAF	Funk Cider	character	7.5%	ADVENTUROUS	Graf (Cider/Beer blend)	What could make a cider better...beer with cherries on top! Old Style Saison Graf (cider and beer) co-fermented with freshly juiced cherries Dry style with a hint of spice and cherry sweetness				
115	6	PINEAPPLE EXPRESS	Hohly Water	character	4.5%	EASY DRINKING	Seltzer	"Delightful champagne notes combined with a burst of tropical fruit aromas. It has a rich, pillowy mouthfeel that is perfectly balanced with a mellow coconut flavor shining through."				
116	6	BARREL AGED SELTZERITA	Felons Brewing Co	character	13%	ADVENTUROUS	Seltzer	"Australian agave spirit barrel aged seltzer with lime and a hint of jalapeño. Having spent months in Australian agave spirit barrels, this super charged version of our fermented seltzer gains a smooth oaky character and a distinctive rich spirit note. Combined with lime zest and a dash of jalapeño we’ve created an unconventional take on the classic margarita."				
117	6	APPLE AND BLACK CURRANT CIDER	Cedar Creek Cider	character	4.5%	EASY DRINKING	Cider	"This is our take on fresh new-world black currant and apple cider. It’s medium sweet with enough acidity to provide balance and a refreshing finish. The black currant is subtle, although present, with similarities to summer berries, cassis, and ripe dark cherries."				
118	6	SOUR PINEAPPLE CIDER	Spreyton Cider Co	character	3.5%	EASY DRINKING	Cider	"Sour drops and Warheads! This will make your lips smack, we have combined our base apple cider with some seriously zingy pineapple juice - made down the road at our juicing operations. Apple-Pineapple sherbet, sour fizz."				
119	6	EDDIES ORGANIC CIDER - CRISP APPLE	Eddies Cider	character	4.5%	EASY DRINKING	Cider	"Aromas of fresh organic apples with background hints of pineapple and citrus, the palate is well-balanced between acid and sweetness giving the apples full expression of their own character. The flavour is pleasingly appley with zesty freshness and mouth-filling roundness with a clean, lingering finish."				
120	6	SPLICER	Flying Brick Cider Co	character	4.9%	EASY DRINKING	Cider	"A beverage salute to an iconic ice-cream. Cloudy blonde chartreuse in colour. Lashings of fresh Passionfruit, Pineapple & Lime curate a sublime fusion with the soft, creamy vanilla Pear Cider base. Refreshing tropical sweet fruit flavour balanced with naturally dryish zesty acid crunch."				
